Product StockKeepingUnit,Price (01s68000002Qj2cAAC) EUR,Price (01s68000002Qj2cAAC) RON,IsActive
5200557968,27.57,,true
5200557969,13.38,,true
5200557970,10.57,,true
5200557971,3.65,,true
5200557972,7.04,,true
5200557973,12.41,,true
5200557974,17.32,,true
5200557975,19.63,,true
5200557976,4.12,,true
5200557977,6.42,,true
5200557978,9.48,,true
5200557979,11.63,,true
5200557980,17.12,,true
5200557981,21.35,,true
5200557982,30.44,,true
5200557987,6.01,,true
5200557992,68.41,,true
5200558039,16.57,,true
5200558085,26.07,,true
5200558109,26.35,,true
5200558124,36.43,,true
5200558143,70.56,,true
5200558144,61.92,,true
5200937803,26.7,,true
5200937804,26.59,,true
5200937805,22.38,,true
5200558145,30.96,,true
5200558146,66.6,,true
5200558149,26.07,,true
5200558163,30.19,,true
5200558165,,3.42,true
5200558166,1.37,,true
5200558167,0.68,,true
5200558269,12.35,,true
5200558282,83.49,,true
5200558295,37.13,,true
5200558297,12.9,,true
5200558300,4.89,,true
5200558301,6.26,,true
5200558302,4.11,,true
5200558303,4.23,,true
5200558304,4.37,,true
5200558305,5.26,,true
5200558306,6.82,,true
5200558307,4.38,,true
5200558308,3.91,,true
5200558309,4.8,,true
5200558313,2.31,,true
5200558314,7.96,,true
5200558323,36.43,,true
5200568323,28.28,,true
5200568324,3.23,,true
5200568325,4.03,,true
5200568326,5.17,,true
5200568327,5.75,,true
5200568328,3.23,,true
5200568329,4.03,,true
5200568330,4.19,,true
5200568331,4.44,,true
5200568332,4.84,,true
5200568333,3.76,,true
5200568334,4.7,,true
5200568335,4.89,,true
5200568336,5.17,,true
5200568337,5.64,,true
5200568338,3.16,,true
5200568339,3.95,,true
5200568340,4.11,,true
5200568341,4.35,,true
5200568342,4.74,,true
5200568343,4.02,,true
5200568344,5.03,,true
5200568345,5.23,,true
5200568346,5.53,,true
5200568347,6.04,,true
5200568348,4.6,,true
5200568349,5.75,,true
5200568350,5.98,,true
5200568351,6.33,,true
5200568352,6.9,,true
5200568353,4.53,,true
5200568354,5.66,,true
5200568355,5.88,,true
5200568356,6.22,,true
5200568357,6.79,,true
5200568368,4.52,,true
