Product StockKeepingUnit,Price (01s68000002QhvpAAC) RON,Price (01s68000002QhvpAAC) EUR,IsActive
5200886170,232.48,,true
5200886171,242.58,,true
5200886172,224.26,,true
5200886173,242.58,,true
5200886174,218.69,,true
5200886175,224.26,,true
5200886608,234.67,,true
5200886609,226.94,,true
5200886610,220.96,,true
5200886611,298.85,,true
5200886612,264.8,,true
5200886613,234.67,,true
5200886614,226.94,,true
5200886615,220.96,,true
5200886616,298.85,,true
5200886617,264.8,,true
5200886618,234.67,,true
5200886619,226.94,,true
5200886620,220.96,,true
5200886621,298.85,,true
5200886622,264.8,,true
5200886623,234.67,,true
5200886624,226.94,,true
5200886625,220.96,,true
5200886626,264.8,,true
5200886627,234.67,,true
5200886628,226.94,,true
5200886629,220.96,,true
5200886630,298.85,,true
5200886631,264.8,,true
5200886632,234.67,,true
5200886633,226.94,,true
5200886634,220.96,,true
5200886635,298.85,,true
5200885886,232.48,,true
5200885887,232.48,,true
5200885888,242.58,,true
5200885889,224.26,,true
5200885890,224.26,,true
5200885891,224.26,,true
5200885892,232.11,,true
5200885893,232.11,,true
5200885894,232.11,,true
5200885895,224.26,,true
5200885896,242.58,,true
5200885897,232.48,,true
