Product StockKeepingUnit,Price (01s68000002Qj2SAAS) EUR,IsActive
5200910663,20.98,true
5200912585,74.73,true
5200913823,23.45,true
5200913824,20.88,true
5200914308,18.11,true
5200915384,13.33,true
5200569042,27.34,true
5200569043,7.69,true
5200569044,8.09,true
5200569045,9.04,true
5200569046,9.4,true
5200569047,9.71,true
5200569048,10.27,true
5200569049,10.39,true
5200569050,10.63,true
5200569051,11.47,true
5200569052,12.43,true
5200569053,12.9,true
5200569054,14.99,true
5200569055,15.64,true
5200569056,15.88,true
5200569057,16.9,true
5200569058,17.31,true
5200569059,18.81,true
5200569060,19.34,true
5200569061,23.11,true
5200569062,24.9,true
5200569063,26.77,true
5200569064,28.14,true
5200569065,9.3,true
5200569066,9.69,true
5200569067,10.49,true
5200569068,10.89,true
5200569069,11.23,true
5200569070,11.82,true
5200569071,12.59,true
5200860173,75.58,true
5200860174,75.58,true
5200860175,75.58,true
5200860178,75.58,true
5200860181,75.58,true
5200860182,75.58,true
5200860184,75.58,true
5200860221,2.02,true
5200862019,204.29,true
5200862025,421.8,true
5200862557,5.36,true
5200867302,20.25,true
5200868156,224.69,true
5200868157,340.12,true
5200868416,6.11,true
5200868417,6.39,true
5200868418,7.67,true
5200868419,9.32,true
5200868420,11.32,true
5200868421,14.5,true
5200868422,16.93,true
5200868423,18.13,true
5200868424,19.33,true
5200868425,21.75,true
5200868426,23.5,true
5200868427,26.58,true
5200868428,28.99,true
5200868429,30.21,true
5200868430,5.83,true
5200868431,7.01,true
5200916067,11.56,true
5200916918,14.23,true
5200917387,6.71,true
5200917403,10.33,true
5200918441,15.19,true
5200919793,2.58,true
5200919795,3.96,true
5200919808,9.23,true
5200922994,340.52,true
5200922995,1435.77,true
5200922999,1149.43,true
5200923000,1121.74,true
5200923001,207.57,true
5200923003,889.16,true
5200923004,432.73,true
5200923005,962.84,true
5200923007,162.93,true
5200925266,16.36,true
5200925287,62.63,true
5200925288,81.68,true
5200925289,66.42,true
5200925290,62.63,true
5200926670,8.42,true
5200926904,6.01,true
5200927690,79.69,true
5200927691,66.25,true
5200927692,55.85,true
5200927693,48.69,true
5200927694,44.9,true
5200927695,39.4,true
5200927697,65.52,true
5200569072,12.47,true
5200569073,13.78,true
5200569074,14.85,true
5200569075,15.71,true
5200569087,1.82,true
5200569088,1.87,true
5200569089,2.28,true
5200569090,2.4,true
5200569091,2.52,true
5200569092,2.59,true
5200569093,2.63,true
5200569094,2.73,true
5200569095,3.1,true
5200569096,3.45,true
5200569097,3.79,true
5200569100,2.38,true
5200569101,2.48,true
5200569102,3.07,true
5200569103,3.21,true
5200569104,3.39,true
5200569105,3.5,true
5200569106,3.54,true
5200569107,3.7,true
5200569108,4.18,true
5200569109,4.6,true
5200569110,5.02,true
5200569111,5.4,true
5200569112,5.82,true
5200569113,5.98,true
5200868432,8.77,true
5200868433,10.68,true
5200868434,13.99,true
5200868435,16.32,true
5200868436,17.47,true
5200868437,18.67,true
5200868439,22.65,true
5200868440,25.63,true
5200868441,27.97,true
5200868442,29.14,true
5200868443,5.99,true
5200868445,8.96,true
5200868446,11.09,true
5200868447,13.43,true
5200868448,15.67,true
5200868449,16.63,true
5200868450,17.91,true
5200868451,20.14,true
5200868452,22.17,true
5200868453,6.7,true
5200868455,10.35,true
5200868456,12.14,true
5200868457,14.57,true
5200868458,16.33,true
5200868459,17.5,true
5200868460,18.67,true
5200868461,21,true
5200868462,23.44,true
5200868464,7.92,true
5200927698,61.58,true
5200927699,57.08,true
5200927700,54,true
5200927701,44.46,true
5200927702,41.19,true
5200927829,12.47,true
5200928091,52.18,true
5200928094,62.49,true
5200928095,68.84,true
5200928096,73.37,true
5200928098,81.62,true
5200928100,90.44,true
5200928211,76.76,true
5200928212,49.49,true
5200928213,56.99,true
5200928214,62.85,true
5200928215,67.76,true
5200928216,71.57,true
5200928327,45.18,true
5200928329,51.72,true
5200928330,56,true
5200928331,60.14,true
5200928332,64.42,true
5200928333,68.56,true
5200928459,48.86,true
5200928467,58.39,true
5200928471,65.02,true
5200928472,71.33,true
5200928473,77.78,true
5200569114,6.64,true
5200569115,6.81,true
5200569116,8.92,true
5200569117,8.18,true
5200569118,10.25,true
5200569119,11,true
5200569120,13.7,true
5200569121,14.26,true
5200569122,14.97,true
5200569123,15.62,true
5200569124,3.03,true
5200569125,3.13,true
5200569126,3.76,true
5200569127,3.94,true
5200569128,4.18,true
5200569129,4.29,true
5200569130,4.38,true
5200569131,4.47,true
5200569132,5.06,true
5200569133,5.54,true
5200569134,6.01,true
5200569135,6.9,true
5200569136,7.32,true
5200569137,7.44,true
5200569138,8.22,true
5200569139,8.63,true
5200569140,9.58,true
5200569141,9.86,true
5200569142,12.07,true
5200868466,11.49,true
5200868467,12.94,true
5200868468,17.1,true
5200868469,19.95,true
5200868470,19.4,true
5200868471,22.8,true
5200868472,25.65,true
5200868473,25.87,true
5200868475,8.19,true
5200868476,9.76,true
5200868477,12,true
5200868478,14.78,true
5200868479,17.74,true
5200868480,20.69,true
5200868481,22.17,true
5200868482,23.65,true
5200868483,26.6,true
5200868484,29.56,true
5200868486,8.92,true
5200868488,13.05,true
5200868489,15.47,true
5200868490,18.37,true
5200868491,21.43,true
5200868492,22.96,true
5200868493,24.49,true
5200868494,27.55,true
5200868495,30.83,true
5200868503,5.64,true
5200868509,5.1,true
5200928474,85.76,true
5200928768,50.94,true
5200928771,58.52,true
5200928772,64.96,true
5200928773,71.03,true
5200928774,78.06,true
5200928775,84.25,true
5200931131,14.4,true
5200931426,5.07,true
5200931428,5.33,true
5200931431,4.35,true
5200932079,5.17,true
5200932271,6.21,true
5200934468,196.16,true
5200934474,110.94,true
5200934475,157,true
5200935047,0.1,true
5200451780,12.69,true
5200550901,140.9,true
