Product StockKeepingUnit,Price (01s68000002Qj2OAAS) EUR,IsActive
5200909815,8.16,true
5200910663,20.3,true
5200912585,70.79,true
5200913823,23.45,true
5200913824,20.88,true
5200914308,18.11,true
5200915384,13.33,true
5200569042,27.34,true
5200569043,7.69,true
5200569044,8.09,true
5200569045,9.04,true
5200569046,9.4,true
5200569047,9.71,true
5200569048,10.27,true
5200569049,10.39,true
5200569050,10.63,true
5200569051,11.47,true
5200569052,12.43,true
5200569053,12.9,true
5200569054,14.99,true
5200569055,15.64,true
5200569056,15.88,true
5200569057,16.9,true
5200569058,17.31,true
5200569059,18.81,true
5200569060,19.34,true
5200569061,23.11,true
5200569062,24.9,true
5200569063,26.77,true
5200569064,28.14,true
5200569065,9.3,true
5200569066,9.69,true
5200569067,10.49,true
5200569068,10.89,true
5200569069,11.23,true
5200569070,11.82,true
5200569071,12.59,true
5200860173,71.6,true
5200860174,71.6,true
5200860175,71.6,true
5200860178,71.6,true
5200860181,71.6,true
5200860182,71.6,true
5200860184,71.6,true
5200860221,1.96,true
5200862019,193.54,true
5200862025,399.6,true
5200862557,5.2,true
5200867302,19.63,true
5200868156,212.87,true
5200868157,322.22,true
5200868416,5.91,true
5200868417,6.18,true
5200868418,7.43,true
5200868419,9.02,true
5200868420,10.95,true
5200868421,14.03,true
5200868422,16.38,true
5200868423,17.54,true
5200868424,18.71,true
5200868425,21.05,true
5200868426,22.74,true
5200868427,25.72,true
5200868428,28.05,true
5200868429,29.23,true
5200868430,5.64,true
5200868431,6.79,true
5200916067,11.56,true
5200916918,13.79,true
5200917387,6.71,true
5200917403,9.78,true
5200918441,14.73,true
5200919793,2.45,true
5200919795,3.75,true
5200919808,9.23,true
5200922994,322.6,true
5200922995,1360.21,true
5200922999,1088.94,true
5200923000,1062.7,true
5200923001,196.64,true
5200923003,842.36,true
5200923004,409.95,true
5200923005,912.17,true
5200923007,154.35,true
5200925266,16.36,true
5200925287,59.34,true
5200925288,77.38,true
5200925289,62.93,true
5200925290,59.34,true
5200926670,7.97,true
5200926904,5.82,true
5200927690,77.12,true
5200927691,64.12,true
5200927692,54.05,true
5200927693,47.12,true
5200927694,43.45,true
5200927695,38.13,true
5200927697,63.41,true
5200569072,12.47,true
5200569073,13.78,true
5200569074,14.85,true
5200569075,15.71,true
5200569087,1.82,true
5200569088,1.87,true
5200569089,2.28,true
5200569090,2.4,true
5200569091,2.52,true
5200569092,2.59,true
5200569093,2.63,true
5200569094,2.73,true
5200569095,3.1,true
5200569096,3.45,true
5200569097,3.79,true
5200569100,2.38,true
5200569101,2.48,true
5200569102,3.07,true
5200569103,3.21,true
5200569104,3.39,true
5200569105,3.5,true
5200569106,3.54,true
5200569107,3.7,true
5200569108,4.18,true
5200569109,4.6,true
5200569110,5.02,true
5200569111,5.4,true
5200569112,5.82,true
5200569113,5.98,true
5200868432,8.49,true
5200868433,10.33,true
5200868434,13.54,true
5200868435,15.8,true
5200868436,16.9,true
5200868437,18.06,true
5200868439,21.92,true
5200868440,24.8,true
5200868441,27.06,true
5200868442,28.2,true
5200868443,5.67,true
5200868445,8.49,true
5200868446,10.5,true
5200868447,12.73,true
5200868448,14.84,true
5200868449,15.75,true
5200868450,16.97,true
5200868451,19.08,true
5200868452,21.01,true
5200868453,6.35,true
5200868455,9.8,true
5200868456,11.5,true
5200868457,13.81,true
5200868458,15.47,true
5200868459,16.58,true
5200868460,17.69,true
5200868461,19.89,true
5200868462,22.2,true
5200868464,7.51,true
5200927698,59.6,true
5200927699,55.24,true
5200927700,52.25,true
5200927701,43.03,true
5200927702,39.86,true
5200927829,12.08,true
5200928091,50.58,true
5200928094,60.58,true
5200928095,66.73,true
5200928096,71.13,true
5200928098,79.13,true
5200928100,87.68,true
5200928211,74.41,true
5200928212,47.98,true
5200928213,55.24,true
5200928214,60.92,true
5200928215,65.68,true
5200928216,69.38,true
5200928327,43.8,true
5200928329,50.14,true
5200928330,54.28,true
5200928331,58.3,true
5200928332,62.44,true
5200928333,66.46,true
5200928459,47.37,true
5200928467,56.6,true
5200928471,63.03,true
5200928472,69.15,true
5200928473,75.4,true
5200569114,6.64,true
5200569115,6.81,true
5200569116,8.92,true
5200569117,8.18,true
5200569118,10.25,true
5200569119,11,true
5200569120,13.7,true
5200569121,14.26,true
5200569122,14.97,true
5200569123,15.62,true
5200569124,3.03,true
5200569125,3.13,true
5200569126,3.76,true
5200569127,3.94,true
5200569128,4.18,true
5200569129,4.29,true
5200569130,4.38,true
5200569131,4.47,true
5200569132,5.06,true
5200569133,5.54,true
5200569134,6.01,true
5200569135,6.9,true
5200569136,7.32,true
5200569137,7.44,true
5200569138,8.22,true
5200569139,8.63,true
5200569140,9.58,true
5200569141,9.86,true
5200569142,12.07,true
5200868466,10.88,true
5200868467,12.26,true
5200868468,16.2,true
5200868469,18.9,true
5200868470,18.38,true
5200868471,21.6,true
5200868472,24.3,true
5200868473,24.51,true
5200868475,7.76,true
5200868476,9.24,true
5200868477,11.37,true
5200868478,14,true
5200868479,16.8,true
5200868480,19.6,true
5200868481,21.01,true
5200868482,22.4,true
5200868483,25.2,true
5200868484,28.01,true
5200868486,8.45,true
5200868488,12.37,true
5200868489,14.65,true
5200868490,17.41,true
5200868491,20.3,true
5200868492,21.75,true
5200868493,23.2,true
5200868494,26.1,true
5200868495,29.21,true
5200868503,5.35,true
5200868509,4.83,true
5200928474,83.13,true
5200928768,49.38,true
5200928771,56.72,true
5200928772,62.98,true
5200928773,68.86,true
5200928774,75.67,true
5200928775,81.67,true
5200931131,13.64,true
5200931426,4.91,true
5200931428,5.17,true
5200931431,4.22,true
5200932079,5.02,true
5200932271,6.02,true
5200934468,190.15,true
5200934474,107.54,true
5200934475,152.19,true
5200935047,0.1,true
5200451780,12.3,true
